Vendor ID,Company Name,Industry Sector,Country,Risk Status,Cumulative Risk Score,Financial Instability,Delivery Delay,Compliance Issues,Inventory Status,Inventory Buffer Days,Financial Impact Score,Backup Supplier
V001,PureNaturals S.A.,Household Cleaning & Hygiene,Indonesia,Medium,57,62,75,10,Warning,30,40,SolFoods backup Logistics (USA)
V002,TrueLaboratories Corp.,Apparel & Consumer Linens,Germany,Low,20,35,12,8,Optimal,63,56,SolFoods backup Logistics (USA)
V003,AlpineCosmetics Ltd.,Household Cleaning & Hygiene,Australia,High,71,87,80,22,Critical,14,57,SolFoods backup Logistics (USA)
V004,EcoBeverages Corp.,Cosmetics & Personal Care,South Korea,High,60,31,77,84,Critical,8,68,SolFoods backup Logistics (USA)
V005,PrimeClean S.A.,Apparel & Consumer Linens,Netherlands,High,63,53,62,84,Warning,23,46,SolFoods backup Logistics (USA)
V006,SummitMillers Ltd.,CPG Cold-Chain Logistics,India,Low,31,54,14,21,Optimal,70,22,SolFoods backup Logistics (USA)
V007,SilkEssentials S.A.,Beverage Bottling & Brewing,Vietnam,Medium,49,45,33,90,Optimal,71,39,SolFoods backup Logistics (USA)
V008,NovaLaboratories Corp.,Agricultural Materials & Oils,USA,Medium,57,51,69,45,Warning,28,57,SolFoods backup Logistics (Canada)
V009,FreshSupplies Ltd.,Beverage Bottling & Brewing,India,High,63,55,86,35,Critical,19,40,SolFoods backup Logistics (USA)
V010,RoyalHedges Corp.,Agricultural Materials & Oils,South Korea,Medium,43,33,50,49,Optimal,79,36,SolFoods backup Logistics (USA)
V011,BioLogistics S.A.,Sustainable CPG Packaging,Brazil,Low,26,39,15,24,Optimal,49,34,SolFoods backup Logistics (USA)
V012,VitaLogistics Ltd.,Agricultural Materials & Oils,India,High,63,39,95,46,Critical,14,84,SolFoods backup Logistics (USA)
V013,PureCan & Glass S.A.,Sustainable CPG Packaging,Vietnam,Low,32,44,23,26,Optimal,80,71,SolFoods backup Logistics (USA)
V014,RoyalMillers Corp.,Apparel & Consumer Linens,Australia,Medium,38,21,54,38,Warning,21,38,SolFoods backup Logistics (USA)
V015,ApexLogistics Ltd.,Household Cleaning & Hygiene,India,Low,30,29,19,54,Optimal,66,61,SolFoods backup Logistics (USA)
V016,SunIndustries Corp.,Packaged Foods & Snacks,Japan,Medium,53,54,53,52,Warning,31,64,SolFoods backup Logistics (USA)
V017,HydroCare S.A.,Apparel & Consumer Linens,India,Medium,39,45,30,45,Optimal,58,25,SolFoods backup Logistics (USA)
V018,SilkBeverages Ltd.,Agricultural Materials & Oils,Chile,Medium,59,42,84,41,Critical,12,26,SolFoods backup Logistics (USA)
V019,EcoPackaging S.A.,CPG Cold-Chain Logistics,UK,Critical,82,92,77,70,Critical,11,28,SolFoods backup Logistics (USA)
V020,HydroCan & Glass Corp.,Packaged Foods & Snacks,France,Medium,54,59,67,20,Warning,21,72,SolFoods backup Logistics (USA)
V021,ApexFarms Ltd.,Apparel & Consumer Linens,France,Medium,57,87,50,10,Optimal,58,24,SolFoods backup Logistics (USA)
V022,PureBottlers Corp.,Agricultural Materials & Oils,Japan,Medium,43,34,58,29,Warning,27,52,SolFoods backup Logistics (USA)
V023,TerraCare S.A.,Sustainable CPG Packaging,Mexico,Medium,56,80,31,56,Optimal,63,56,SolFoods backup Logistics (USA)
V024,GreenNutrition Ltd.,Beverage Bottling & Brewing,Netherlands,Medium,46,63,22,61,Optimal,59,31,SolFoods backup Logistics (USA)
V025,SunFarms S.A.,Sustainable CPG Packaging,Switzerland,High,67,47,88,63,Critical,12,24,SolFoods backup Logistics (USA)
V026,PureOrganics Corp.,CPG Cold-Chain Logistics,South Africa,Low,25,29,27,11,Optimal,64,73,SolFoods backup Logistics (USA)
V027,AuraLaboratories Ltd.,Agricultural Materials & Oils,South Africa,Medium,42,57,11,72,Optimal,64,77,SolFoods backup Logistics (USA)
V028,SunFoods Corp.,CPG Cold-Chain Logistics,Australia,High,61,29,83,83,Critical,9,59,SolEssentials backup Logistics (USA)
V029,OrgaEssentials S.A.,Household Cleaning & Hygiene,Malaysia,High,67,79,62,55,Warning,23,33,SolFoods backup Logistics (USA)
V030,PacificLaboratories Ltd.,Packaged Foods & Snacks,Canada,Low,32,49,14,36,Optimal,75,37,SolFoods backup Logistics (USA)
